# McDonnell Douglas (MDA) 30P-30N (trimmed test fixture)
#            Slat      Flap
# Delta      30         30
# Slat
 0.018772  0.005079
 0.014610  0.000628
 0.008319 -0.006122
-0.001597 -0.015965
-0.016205 -0.031258
-0.032108 -0.054259
-0.042134 -0.079465
-0.038281 -0.104273
-0.037619 -0.111711
-0.052603 -0.114868
-0.061553 -0.115727
-0.067373 -0.115634
-0.073731 -0.114453
-0.080560 -0.110880
-0.085138 -0.103030
-0.083752 -0.092040
-0.073513 -0.075054
-0.043114 -0.044359
-0.003735 -0.012086
 0.012443  0.000271
 0.018772  0.005079
# Main Element
 0.874007  0.030943
 0.851614  0.031760
 0.782598  0.032007
 0.720125  0.032007
 0.699928  0.021835
 0.699928 -0.012519
 0.660902 -0.024479
 0.445938 -0.052108
 0.128527 -0.042029
 0.065758 -0.032754
 0.051120 -0.028834
 0.043903 -0.017925
 0.046630 -0.004938
 0.055808  0.006965
 0.085717  0.026341
 0.172421  0.049612
 0.399523  0.061526
 0.687942  0.053323
 0.806754  0.041276
 0.854675  0.034356
 0.874007  0.030943
# Flap
 1.128307 -0.145799
 1.122574 -0.141089
 1.108884 -0.129843
 1.074534 -0.104934
 0.989381 -0.058180
 0.919693 -0.029500
 0.887431 -0.016515
 0.875878 -0.005489
 0.871581  0.004747
 0.874515  0.015211
 0.885254  0.021533
 0.903665  0.020860
 0.929389  0.012956
 0.964582 -0.004248
 1.012307 -0.035403
 1.059798 -0.073280
 1.089217 -0.099205
 1.107285 -0.116688
 1.118674 -0.128099
 1.125985 -0.135406
 1.130625 -0.140133
 1.130859 -0.140497
