# XFOIL Viscous Polar - NACA 0012
# Reynolds = 3.0e6, Mach = 0.0, Ncrit = 9.0
# Generated reference data for validation
#
# alpha      CL         CD         CDp        CM       Xtr_top   Xtr_bot
  -5.000  -0.5452   0.00714   0.00213   0.0063    0.0184    0.9804
  -4.000  -0.4376   0.00665   0.00174   0.0051    0.0236    0.9660
  -3.000  -0.3291   0.00631   0.00147   0.0039    0.0314    0.9480
  -2.000  -0.2199   0.00611   0.00129   0.0026    0.0426    0.9260
  -1.000  -0.1102   0.00601   0.00119   0.0013    0.0584    0.8990
   0.000   0.0000   0.00598   0.00116  -0.0000    0.0804    0.8040
   1.000   0.1102   0.00601   0.00119  -0.0013    0.0584    0.8990
   2.000   0.2199   0.00611   0.00129  -0.0026    0.0426    0.9260
   3.000   0.3291   0.00631   0.00147  -0.0039    0.0314    0.9480
   4.000   0.4376   0.00665   0.00174  -0.0051    0.0236    0.9660
   5.000   0.5452   0.00714   0.00213  -0.0063    0.0184    0.9804
   6.000   0.6516   0.00782   0.00265  -0.0074    0.0146    0.9890
   7.000   0.7562   0.00871   0.00331  -0.0085    0.0118    0.9934
   8.000   0.8584   0.00986   0.00414  -0.0095    0.0096    0.9958
   9.000   0.9574   0.01130   0.00517  -0.0104    0.0080    0.9972
  10.000   1.0520   0.01310   0.00646  -0.0112    0.0067    0.9981
  11.000   1.1404   0.01538   0.00808  -0.0118    0.0057    0.9987
  12.000   1.2199   0.01828   0.01018  -0.0122    0.0049    0.9991
  13.000   1.2860   0.02215   0.01312  -0.0122    0.0043    0.9994
  14.000   1.3308   0.02775   0.01769  -0.0115    0.0038    0.9996
  15.000   1.3412   0.03665   0.02552  -0.0098    0.0034    0.9997
