#      x          Cp  
     1.00000    0.41163
     0.99168    0.23651
     0.98038    0.18603
     0.96729    0.14440
     0.95274    0.11229
     0.93722    0.08556
     0.92113    0.06281
     0.90473    0.04301
     0.88819    0.02544
     0.87156    0.00960
     0.85489   -0.00491
     0.83820   -0.01835
     0.82150   -0.03094
     0.80478   -0.04284
     0.78806   -0.05419
     0.77133   -0.06509
     0.75460   -0.07561
     0.73787   -0.08584
     0.72114   -0.09582
     0.70441   -0.10561
     0.68768   -0.11525
     0.67096   -0.12477
     0.65423   -0.13420
     0.63752   -0.14358
     0.62081   -0.15292
     0.60411   -0.16224
     0.58743   -0.17156
     0.57075   -0.18089
     0.55409   -0.19024
     0.53744   -0.19961
     0.52081   -0.20903
     0.50419   -0.21848
     0.48760   -0.22797
     0.47103   -0.23751
     0.45448   -0.24708
     0.43796   -0.25668
     0.42147   -0.26630
     0.40501   -0.27594
     0.38859   -0.28558
     0.37221   -0.29521
     0.35587   -0.30480
     0.33957   -0.31433
     0.32333   -0.32379
     0.30714   -0.33313
     0.29102   -0.34232
     0.27496   -0.35132
     0.25899   -0.36008
     0.24311   -0.36854
     0.22733   -0.37663
     0.21167   -0.38426
     0.19614   -0.39135
     0.18079   -0.39776
     0.16563   -0.40335
     0.15072   -0.40792
     0.13613   -0.41124
     0.12194   -0.41303
     0.10827   -0.41291
     0.09530   -0.41049
     0.08317   -0.40533
     0.07207   -0.39700
     0.06210   -0.38515
     0.05330   -0.36948
     0.04562   -0.34973
     0.03896   -0.32560
     0.03319   -0.29667
     0.02818   -0.26237
     0.02382   -0.22193
     0.02000   -0.17439
     0.01664   -0.11853
     0.01368   -0.05295
     0.01108    0.02393
     0.00879    0.11368
     0.00678    0.21751
     0.00505    0.33568
     0.00358    0.46640
     0.00237    0.60452
     0.00141    0.74039
     0.00070    0.86010
     0.00024    0.94849
     0.00003    0.99434
     0.00003    0.99434
     0.00024    0.94849
     0.00070    0.86010
     0.00141    0.74039
     0.00237    0.60452
     0.00358    0.46640
     0.00505    0.33568
     0.00678    0.21751
     0.00879    0.11368
     0.01108    0.02393
     0.01368   -0.05295
     0.01664   -0.11853
     0.02000   -0.17439
     0.02382   -0.22193
     0.02818   -0.26237
     0.03319   -0.29667
     0.03896   -0.32560
     0.04562   -0.34973
     0.05330   -0.36948
     0.06210   -0.38515
     0.07207   -0.39700
     0.08317   -0.40533
     0.09530   -0.41049
     0.10827   -0.41291
     0.12194   -0.41303
     0.13613   -0.41124
     0.15072   -0.40792
     0.16563   -0.40335
     0.18079   -0.39776
     0.19614   -0.39135
     0.21167   -0.38426
     0.22733   -0.37663
     0.24311   -0.36854
     0.25899   -0.36008
     0.27496   -0.35132
     0.29102   -0.34232
     0.30714   -0.33313
     0.32333   -0.32379
     0.33957   -0.31433
     0.35587   -0.30480
     0.37221   -0.29521
     0.38859   -0.28558
     0.40501   -0.27594
     0.42147   -0.26630
     0.43796   -0.25668
     0.45448   -0.24708
     0.47103   -0.23751
     0.48760   -0.22797
     0.50419   -0.21848
     0.52081   -0.20903
     0.53744   -0.19961
     0.55409   -0.19024
     0.57075   -0.18089
     0.58743   -0.17156
     0.60411   -0.16224
     0.62081   -0.15292
     0.63752   -0.14358
     0.65423   -0.13420
     0.67096   -0.12477
     0.68768   -0.11525
     0.70441   -0.10561
     0.72114   -0.09582
     0.73787   -0.08584
     0.75460   -0.07561
     0.77133   -0.06509
     0.78806   -0.05419
     0.80478   -0.04284
     0.82150   -0.03094
     0.83820   -0.01835
     0.85489   -0.00491
     0.87156    0.00960
     0.88819    0.02544
     0.90473    0.04301
     0.92113    0.06281
     0.93722    0.08556
     0.95274    0.11229
     0.96729    0.14440
     0.98038    0.18603
     0.99168    0.23651
     1.00000    0.41163
