  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012 (closed TE)                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
           alpha                   CL                     CD                     CDp                    CM                   Top_Xtr                Bot_Xtr                Top_Itr                Bot_Itr       
  ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ----------------------
  -0.400000000000000E+01 -0.417472911547277E+00  0.724741449042830E-02  0.891659177438670E-03 -0.830103265291081E-02  0.956873435127273E+00  0.258244358500225E+00  0.471851537335265E+01  0.113843334668286E+03
  -0.300000000000000E+01 -0.298111082723980E+00  0.628209025917440E-02  0.575673945922419E-03 -0.979778903286811E-02  0.923498231137292E+00  0.373023403251671E+00  0.686058059442101E+01  0.120950748472571E+03
  -0.200000000000000E+01 -0.193692216575068E+00  0.568338258499404E-02  0.380905559797394E-03 -0.770843480554659E-02  0.863395644332920E+00  0.482238507717353E+00  0.105109324866518E+02  0.127590309182735E+03
  -0.100000000000000E+01 -0.955205423559084E-01  0.540224039601605E-02  0.271039432672629E-03 -0.413733707054835E-02  0.781575922341447E+00  0.586284212581182E+00  0.154255216221158E+02  0.133859850842301E+03
   0.000000000000000E+00 -0.883180933241505E-04  0.532618163904036E-02  0.235479399903184E-03  0.203149458753888E-04  0.686915007673743E+00  0.686891862740242E+00  0.211011517050157E+02  0.139897460342202E+03
   0.100000000000000E+01  0.953318454404090E-01  0.540201791872738E-02  0.270889763533207E-03  0.418075694963995E-02  0.586306659762752E+00  0.781573531277211E+00  0.271387997650068E+02  0.145574334947262E+03
   0.200000000000000E+01  0.193473848864751E+00  0.568273813664194E-02  0.380594811241265E-03  0.775885148283574E-02  0.482308636590815E+00  0.863423465942758E+00  0.334054498643370E+02  0.150490742985379E+03
   0.300000000000000E+01  0.297904735557193E+00  0.628131237185643E-02  0.575372269580915E-03  0.984569603998488E-02  0.373087194877969E+00  0.923547387797833E+00  0.400453419798601E+02  0.154142483710198E+03
   0.400000000000000E+01  0.417382177834099E+00  0.724662016875781E-02  0.891639919017249E-03  0.832210294229824E-02  0.258277543936463E+00  0.956898582159841E+00  0.471545752866743E+02  0.156283216126068E+03
   0.500000000000000E+01  0.547610004026978E+00  0.851879471509238E-02  0.135796402409749E-02  0.408092155191064E-02  0.151670951151062E+00  0.971674702315887E+00  0.540500194514773E+02  0.157333745437849E+03
   0.600000000000000E+01  0.676934002969840E+00  0.981937373852811E-02  0.193357632587216E-02 -0.103281732458893E-03  0.838361575060332E-01  0.982569627641475E+00  0.590507776195452E+02  0.158192769988811E+03
   0.700000000000000E+01  0.806763761842900E+00  0.110799041257158E-01  0.259893580818478E-02 -0.450732679960896E-02  0.521089941494157E-01  0.991829318155036E+00  0.622438702435339E+02  0.159017032586339E+03
   0.800000000000000E+01  0.941233949677466E+00  0.123445389883892E-01  0.339581492256054E-02 -0.101716113973525E-01  0.368405746526723E-01  0.998371935628534E+00  0.644333695413393E+02  0.159804119227787E+03
   0.900000000000000E+01  0.102744841892862E+01  0.136752137308509E-01  0.424677783021843E-02 -0.587224250990073E-02  0.296947293648755E-01  0.100000000000000E+01  0.657487436832446E+02  0.160000000000000E+03
   0.100000000000000E+02  0.109272212878809E+01  0.151093705709058E-01  0.514152417674604E-02  0.264929948375055E-02  0.252814411876622E-01  0.100000000000000E+01  0.667062054356447E+02  0.160000000000000E+03
