  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
           alpha                   CL                     CD                     CDp                    CM                   Top_Xtr                Bot_Xtr                Top_Itr                Bot_Itr       
  ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ----------------------
  -0.400000000000000E+01 -0.427798592621578E+00  0.727943160941285E-02  0.118262644466076E-02 -0.602376314542230E-02  0.968470677246848E+00  0.253720986527581E+00  0.390988207412798E+01  0.113668165345253E+03
  -0.300000000000000E+01 -0.319939322099373E+00  0.639004909753154E-02  0.869431680889924E-03 -0.485223207791824E-02  0.928498112245173E+00  0.364229921636414E+00  0.654193299683159E+01  0.120511818827697E+03
  -0.200000000000000E+01 -0.214223571181169E+00  0.580121841073925E-02  0.642047023108618E-03 -0.300708246910495E-02  0.867613312285603E+00  0.474259479973207E+00  0.102368433255728E+02  0.127195010360660E+03
  -0.100000000000000E+01 -0.107354582934981E+00  0.548767891782269E-02  0.504023755161479E-03 -0.142806342282809E-02  0.784806566930375E+00  0.582586023158903E+00  0.151945275266476E+02  0.133709782392672E+03
   0.000000000000000E+00 -0.236608581902567E-09  0.540508633502250E-02  0.457248399455171E-03  0.506409973503218E-10  0.687015176080170E+00  0.687014990954074E+00  0.210398056757619E+02  0.139960183254595E+03
   0.100000000000000E+01  0.107356630374572E+00  0.548766732787087E-02  0.504197420818743E-03  0.142759234144933E-02  0.582587848048567E+00  0.784802745114998E+00  0.272901081741903E+02  0.145805243967799E+03
   0.200000000000000E+01  0.214230944254217E+00  0.580121016016607E-02  0.642418178915085E-03  0.300538019454470E-02  0.474257059774925E+00  0.867613201001826E+00  0.338051356810413E+02  0.150763149997175E+03
   0.300000000000000E+01  0.319951938456874E+00  0.639001953597613E-02  0.870059696409532E-03  0.484932626745749E-02  0.364221001992438E+00  0.928497772816235E+00  0.404887269965106E+02  0.154458045910623E+03
   0.400000000000000E+01  0.427813606291621E+00  0.727926358382177E-02  0.118363178663467E-02  0.602036917569351E-02  0.253712654028719E+00  0.968472386820207E+00  0.473323592502381E+02  0.157090248472629E+03
   0.500000000000000E+01  0.557989113205818E+00  0.847853111225078E-02  0.165313849532282E-02  0.172116074276649E-02  0.148500011154716E+00  0.984869667376250E+00  0.541520107127532E+02  0.158396891132153E+03
   0.600000000000000E+01  0.694819942367470E+00  0.972802141573034E-02  0.223769038234895E-02 -0.427867932773228E-02  0.812459575075085E-01  0.993998646327385E+00  0.591732173625781E+02  0.159278281520519E+03
   0.700000000000000E+01  0.826434330466345E+00  0.109403080223693E-01  0.289323451898226E-02 -0.923336343757348E-02  0.506240987105261E-01  0.100000000000000E+01  0.623478191895302E+02  0.160000000000000E+03
   0.800000000000000E+01  0.909822152433220E+00  0.121146494307160E-01  0.355787589978680E-02 -0.393940735643333E-02  0.380652368096878E-01  0.100000000000000E+01  0.641550708854103E+02  0.160000000000000E+03
   0.900000000000000E+01  0.994745983765403E+00  0.134078278184994E-01  0.434312419262709E-02  0.976082261150003E-03  0.306818048648275E-01  0.100000000000000E+01  0.654995892256278E+02  0.160000000000000E+03
   0.100000000000000E+02  0.108093816652580E+01  0.149771517980981E-01  0.533436865962445E-02  0.526887053325290E-02  0.255500108427136E-01  0.100000000000000E+01  0.666010277856688E+02  0.160000000000000E+03
