  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
           alpha                   CL                     CD                     CDp                    CM                   Top_Xtr                Bot_Xtr                Top_Itr                Bot_Itr       
  ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ----------------------
  -0.400000000000000E+01 -0.427812107691818E+00  0.727900134313255E-02  0.118232349521827E-02 -0.602113729926762E-02  0.968457353742607E+00  0.253694616565702E+00  0.390911194326610E+01  0.113632238512240E+03
  -0.300000000000000E+01 -0.319938488730437E+00  0.639007824261611E-02  0.869165088109120E-03 -0.485241249840021E-02  0.928497835392523E+00  0.364196492567305E+00  0.654106952672243E+01  0.120480395947915E+03
  -0.200000000000000E+01 -0.214215300218835E+00  0.580195722637193E-02  0.641834759329148E-03 -0.300844407030585E-02  0.867614085935175E+00  0.474250456084914E+00  0.102391682255730E+02  0.127170588317393E+03
  -0.100000000000000E+01 -0.107356511653487E+00  0.548723567547951E-02  0.503788249424651E-03 -0.142786204600680E-02  0.784799557035397E+00  0.582607411592681E+00  0.152019564730719E+02  0.133692909278901E+03
   0.000000000000000E+00 -0.831514289064209E-09  0.540439855033060E-02  0.457043012363716E-03  0.184283945892562E-09  0.687021217676594E+00  0.687024050218087E+00  0.210518899288807E+02  0.139948279597900E+03
   0.100000000000000E+01  0.107358556615227E+00  0.548722397856841E-02  0.503961943735517E-03  0.142739149137490E-02  0.582607293239585E+00  0.784799322155144E+00  0.273070978246299E+02  0.145798029470421E+03
   0.200000000000000E+01  0.214222662137752E+00  0.580194955216093E-02  0.642206173502971E-03  0.300674373905982E-02  0.474232939899660E+00  0.867604636474167E+00  0.338304695236505E+02  0.150760264253634E+03
   0.300000000000000E+01  0.319951105146576E+00  0.639007090796557E-02  0.869791202484645E-03  0.484950572558867E-02  0.364185785225389E+00  0.928511207436156E+00  0.405202597269110E+02  0.154459762010609E+03
   0.400000000000000E+01  0.427827176248875E+00  0.727884359953140E-02  0.118332817607666E-02  0.601772971124537E-02  0.253705922653902E+00  0.968468013315371E+00  0.473670493788299E+02  0.157091701489238E+03
   0.500000000000000E+01  0.558005216129721E+00  0.847687603634745E-02  0.165246133660720E-02  0.171903080200472E-02  0.148564250291912E+00  0.984865591992310E+00  0.541851874030234E+02  0.158397513897268E+03
   0.600000000000000E+01  0.694835320622174E+00  0.972571129810366E-02  0.223659611363604E-02 -0.428033863778630E-02  0.813000513279691E-01  0.993995736935713E+00  0.592040470737234E+02  0.159278348886868E+03
   0.700000000000000E+01  0.826444627491057E+00  0.109389281140768E-01  0.289224776965599E-02 -0.923490603626436E-02  0.506275580059837E-01  0.100000000000000E+01  0.623751779833742E+02  0.160000000000000E+03
   0.800000000000000E+01  0.909868695766961E+00  0.121099059899490E-01  0.355551873069279E-02 -0.394605631904305E-02  0.380885729726342E-01  0.100000000000000E+01  0.641734546146500E+02  0.160000000000000E+03
   0.900000000000000E+01  0.994760577604293E+00  0.134063520098098E-01  0.434178477321029E-02  0.973561151171912E-03  0.306776508928320E-01  0.100000000000000E+01  0.655173978722949E+02  0.160000000000000E+03
   0.100000000000000E+02  0.108094278686884E+01  0.149766902793207E-01  0.533348317317042E-02  0.526775615562301E-02  0.255454285469787E-01  0.100000000000000E+01  0.666153294743726E+02  0.160000000000000E+03
